,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
10, U11625,"            $45,095          ","             $41,000          ", 55SWF8DB4KU296369,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 34 MPG                                          |                              CITY, Magma Grey, 0, 9-Speed Automatic w/OD,"Rocklin, CA        "
11, U11520,"            $46,525          ","             $42,600          ", WDC0G4JB0KV144036,Mercedes-Benz GLC 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 8,633", 9-Speed Automatic w/OD,"Rocklin, CA        "
12, U11619,"            $44,500          ","             $43,500          ", WDDKK7DF6GF339790,Mercedes-Benz E 550 RWD,2016, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Polar White, 26 MPG                                          |                              CITY, Natural Beige/Black," 40,867", 7-Speed Automatic w/OD,"Rocklin, CA        "
13, U11519,"            $49,485          ","             $43,995          ", WDC0G4JB4KV151037,Mercedes-Benz GLC 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 8,649", 9-Speed Automatic w/OD,"Rocklin, CA        "
14, U11574,"            $49,635          ","             $45,000          ", WDC0G4KB4K1001547,Mercedes-Benz GLC 300 AWD 4MATIC®,2019, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 8,107", 9-Speed Automatic w/OD,"Rocklin, CA        "
15, U11573,"            $49,635          ","             $45,000          ", WDC0G4KB2K1001515,Mercedes-Benz GLC 300 AWD 4MATIC®,2019, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 7,356", 9-Speed Automatic w/OD,"Rocklin, CA        "
16, U11578,"            $49,325          ","             $46,000          ", 55SWF8DB0KU303611,Mercedes-Benz C 300 Sport RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, AMG Black MB-Tex," 8,457", 9-Speed Automatic w/OD,"Rocklin, CA        "
17, U11537,"            $49,829          ","             $46,000          ", WDDKK7DF9GF331568,Mercedes-Benz E 550 RWD,2016, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Dune Silver, 26 MPG                                          |                              CITY, Silk Beige/Espresso Brown Nappa Leather," 13,893", 7-Speed Automatic w/OD,"Rocklin, CA        "
18, U11469,"            $53,637          ","             $47,700          ", WDC0J4KB1JF405750,Mercedes-Benz GLC 300 AWD 4MATIC®,2018, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black, 0, 9-Speed Automatic w/OD,"Rocklin, CA        "
0, U11603,"            $50,280          ","             $49,500          ", 4JGDF6EE3HA743244,Mercedes-Benz GLS 450 AWD 4MATIC®,2017, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Ginger Beige/Espresso Brown MB-Tex," 37,167", 9-Speed Automatic w/OD,"Rocklin, CA        "
1, U11562,"            $50,947          ","             $49,500          ", 4JGDF2EE0GA702691,Mercedes-Benz GL 350 AWD 4MATIC®,2016, AWD 4MATIC, Intercooled Turbo Diesel V-6 3.0 L/182, Steel Grey Metallic, 26 MPG                                          |                              CITY, Black MB-Tex," 22,411", 7-Speed Automatic w/OD,"Rocklin, CA        "
2, U11576,"            $51,195          ","             $49,800          ", 55SWF8DB5KU300526,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 7,961", 9-Speed Automatic w/OD,"Rocklin, CA        "
3, U11602,"            $50,825          ","             $49,900          ", WDDJK6FA8FF037388,Mercedes-Benz SL 400 RWD,2015, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Lunar Blue, 27 MPG                                          |                              CITY, Porcelain / Black Nappa Leather," 40,608", 7-Speed Automatic w/OD,"Rocklin, CA        "
