,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
17, 4WD, Regular Unleaded V-6 3.6 L/220, Black Clearcoat, 20 MPG                                          |                              CITY, Black,"Sacramento, CA        "," 34,194","            $44,916          ","             $39,455          ", B11857, 5-Speed Automatic w/OD,,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB1JV110815,2018
18, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"Sacramento, CA        "," 3,506","            $39,981          ","             $37,880          ", B11959, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 Sport RWD, WDDWJ4JB0HF514072,2017
0, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Steel Grey Metallic, 29 MPG                                          |                              CITY, MB-Tex/DINAMICA Black w/Red Stitching,"Sacramento, CA        "," 27,493","            $42,881          ","             $39,991          ", B11961, 7-Speed Automatic w/OD,,Mercedes-Benz C 450 AWD 4MATIC®, 55SWF6EB3GU126143,2016
1, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Selenite Grey Metallic, 28 MPG                                          |                              CITY, Crystal Grey Leather,"Sacramento, CA        "," 13,216","            $51,722          ","             $49,991          ", B11964, 9-Speed Automatic w/OD,,Mercedes-Benz C-Class AMG® C 43 Sedan AWD 4MATIC®, 55SWF6EB8HU223694,2017
2, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 30 MPG                                          |                              CITY, Saddle Brown Leather,"Sacramento, CA        "," 14,017","            $51,855          ","             $48,772          ", B11966, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 Sport AWD 4MATIC®, WDDWJ4KB1JF624830,2018
3, RWD, Intercooled Turbo Premium Unleaded I-4 1.8 L/110, Black, 31 MPG                                          |                              CITY, Ash MB-Tex,"Sacramento, CA        "," 63,610","            $18,906          ","             $17,999          ", B11971, 7-Speed Automatic w/OD,,Mercedes-Benz C 250 Sport RWD, WDDGF4HB0EG229504,2014
4, RWD, Gas V8 6.3L/379, Palladium Silver, 19 MPG                                          |                              CITY, Black AMG Premium Leather,"Sacramento, CA        "," 53,125","            $30,817          ","             $29,995          ", B11972, 7-Speed Automatic,,Mercedes-Benz C-Class AMG® C 63 RWD, WDDGF77XX9F221999,2009
5, FWD, Gas V6 3.6L/222.6, Dark Granite Metallic, 27 MPG                                          |                              CITY, Sahara Beige,"Sacramento, CA        "," 22,689","            $30,455          ","             $28,778          ", B11974, 8-Speed Automatic,,Cadillac XT5 FWD FWD, 1GYKNARS9HZ154079,2017
6, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Black, 26 MPG                                          |                              CITY, Black/Black Nappa Leather,"Sacramento, CA        "," 36,755","            $55,861          ","             $52,888          ", B11978, 7-Speed Automatic w/OD,,Mercedes-Benz S 550 RWD, WDDUG8CB2FA166652,2015
7, FWD, Gas I4 2.7L/163, Blue, 27 MPG                                          |                              CITY, TAN,"Sacramento, CA        "," 51,445","            $16,916          ","             $14,991          ", B11977, 6-Speed Automatic,,Toyota Venza FWD, 4T3ZA3BB1BU041966,2011
