,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
16, B11891,"            $31,202          ","             $27,433          ", 55SWF4JBXGU156492,Mercedes-Benz C 300 RWD,2016, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 34 MPG                                          |                              CITY, Crystal Grey MB-Tex," 24,069", 7-Speed Automatic w/OD,"Sacramento, CA        "
17, B11888,"            $32,916          ","             $32,454          ", 2FMPK4AP7GBC67281,Ford Edge Sport AWD,2016,,,,,, 0,,"Sacramento, CA        "
0, B11893,"            $31,855          ","             $29,741          ", 55SWF4JB7GU163822,Mercedes-Benz C 300 Sport RWD,2016, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 34 MPG                                          |                              CITY, Sport Black MB-Tex," 39,754", 7-Speed Automatic w/OD,"Sacramento, CA        "
1, B11897,"            $23,816          ","             $22,766          ", WVGEP9BP4ED015452,Volkswagen Touareg AWD,2014, AWD, Intercooled Turbo Diesel V-6 3.0 L/181, White, 29 MPG                                          |                              CITY, Beige," 53,468", 8-Speed Automatic w/OD,"Sacramento, CA        "
2, B11880,"            $38,916          ","             $34,978          ", 1C4BJWDG1JL865804,Jeep Wrangler JK Unlimited Sport S 4WD,2018, 4WD, Regular Unleaded V-6 3.6 L/220, Billet Silver Metallic Clearcoat, 21 MPG                                          |                              CITY, Black," 8,069", 6-Speed Manual w/OD,"Sacramento, CA        "
3, B11896,"            $17,902          ","             $15,499          ", 19VDE1F71DE019207,Acura ILX Tech Pkg FWD,2013, FWD, Gas I4 2.0L/122, Silver Moon Metallic, 35 MPG                                          |                              CITY, Beige," 28,929", 5-Speed Automatic w/Manual Shift,"Sacramento, CA        "
4, B11895,"            $38,873          ","             $35,778          ", JN1EV7AR4KM551107,INFINITI Q50 3.0t LUXE AWD,2019, AWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Majestic White, 27 MPG                                          |                              CITY, Graphite," 1,740", 7-Speed Automatic w/OD,"Sacramento, CA        "
5, B11914,"            $42,945          ","             $36,991          ", 55SWF8DB1KU294157,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex," 9,543", 9-Speed Automatic w/OD,"Sacramento, CA        "
6, B11911,"            $30,969          ","             $28,775          ", WDDSJ4EB2GN310175,Mercedes-Benz CLA 250 Sport FWD,2016, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 38 MPG                                          |                              CITY, Black MB-Tex," 21,717", 7-Speed Auto-Shift Manual w/OD,"Sacramento, CA        "
7, B11916,"            $34,811          ","             $32,642          ", 4JGDA0EB5FA520962,Mercedes-Benz M-Class ML 250 AWD 4MATIC®,2015, AWD 4MATIC, Twin Turbo Diesel I-4 2.1 L/131, Iridium Silver Metallic, 29 MPG                                          |                              CITY, Black MB-Tex," 20,981", 7-Speed Automatic w/OD,"Sacramento, CA        "
8, B11917,"            $42,945          ","             $39,865          ", 55SWF8DBXKU294769,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex," 9,037", 9-Speed Automatic w/OD,"Sacramento, CA        "
9, B11913,"            $39,570          ","             $32,909          ", WDCTG4GB3KJ549125,Mercedes-Benz GLA 250 AWD 4MATIC®,2019, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Black MB-Tex," 9,762", 7-Speed Auto-Shift Manual w/OD,"Sacramento, CA        "
10, B11918,"            $38,330          ","             $35,737          ", WDDPK3JA1GF118637,Mercedes-Benz SLK 300 Sport RWD,2016, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 32 MPG                                          |                              CITY, Bengal Red Premium Leather," 36,167", 9-Speed Automatic w/OD,"Sacramento, CA        "
11, B11920,"            $43,897          ","             $40,443          ", 55SWF6EB0GU143966,Mercedes-Benz C 450 AWD 4MATIC®,2016, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 29 MPG                                          |                              CITY, Cranberry Red Leather," 30,322", 7-Speed Automatic w/OD,"Sacramento, CA        "
12, B11937,"            $38,968          ","             $36,890          ", WDC0G4KB5HF124270,Mercedes-Benz GLC 300 Sport AWD 4MATIC®,2017, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 28 MPG                                          |                              CITY, Black MB-Tex," 29,114", 9-Speed Automatic w/OD,"Sacramento, CA        "
13, B11942,"            $64,916          ","             $62,455          ", WDDUG8CB2GA218475,Mercedes-Benz S 550 Sport RWD,2016, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Lunar Blue Metallic, 26 MPG                                          |                              CITY, Silk Beige/Espresso Brown Nappa Leather," 29,133", 7-Speed Automatic w/OD,"Sacramento, CA        "
14, B11948,"            $23,916          ","             $21,871          ", WDDKJ5KB3DF192721,Mercedes-Benz E 350 RWD,2013, RWD, Gas V6 3.5L/213, Steel Grey Metallic, 28 MPG                                          |                              CITY, Black Leather," 55,463", 7-Speed Automatic w/Manual Shift,"Sacramento, CA        "
15, B11943,"            $36,821          ","             $33,611          ", 5UXWX9C54H0D97551,BMW X3 xDrive28i AWD,2017, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, White, 28 MPG                                          |                              CITY, Beige," 18,787", 8-Speed Automatic w/OD,"Sacramento, CA        "
16, B11958,"            $33,916          ","             $31,872          ", 1C4BJWDG8GL159163,Jeep Wrangler Unlimited Sport 4WD,2016, RWD, Gas/Ethanol V8 5.3L/325, Summit White, 23 MPG                                          |                              CITY, Jet Black," 56,674", 6-Speed Automatic,"Sacramento, CA        "
17, B11857,"            $44,916          ","             $39,455          ", WDC0G4KB1JV110815,Mercedes-Benz GLC 300 AWD 4MATIC®,2018, 4WD, Regular Unleaded V-6 3.6 L/220, Black Clearcoat, 20 MPG                                          |                              CITY, Black," 34,194", 5-Speed Automatic w/OD,"Sacramento, CA        "
18, B11959,"            $39,981          ","             $37,880          ", WDDWJ4JB0HF514072,Mercedes-Benz C 300 Sport RWD,2017, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex," 3,506", 9-Speed Automatic w/OD,"Sacramento, CA        "
0, B11961,"            $42,881          ","             $39,991          ", 55SWF6EB3GU126143,Mercedes-Benz C 450 AWD 4MATIC®,2016, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Steel Grey Metallic, 29 MPG                                          |                              CITY, MB-Tex/DINAMICA Black w/Red Stitching," 27,493", 7-Speed Automatic w/OD,"Sacramento, CA        "
1, B11964,"            $51,722          ","             $49,991          ", 55SWF6EB8HU223694,Mercedes-Benz C-Class AMG® C 43 Sedan AWD 4MATIC®,2017, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Selenite Grey Metallic, 28 MPG                                          |                              CITY, Crystal Grey Leather," 13,216", 9-Speed Automatic w/OD,"Sacramento, CA        "
2, B11966,"            $51,855          ","             $48,772          ", WDDWJ4KB1JF624830,Mercedes-Benz C 300 Sport AWD 4MATIC®,2018, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 30 MPG                                          |                              CITY, Saddle Brown Leather," 14,017", 9-Speed Automatic w/OD,"Sacramento, CA        "
3, B11971,"            $18,906          ","             $17,999          ", WDDGF4HB0EG229504,Mercedes-Benz C 250 Sport RWD,2014, RWD, Intercooled Turbo Premium Unleaded I-4 1.8 L/110, Black, 31 MPG                                          |                              CITY, Ash MB-Tex," 63,610", 7-Speed Automatic w/OD,"Sacramento, CA        "
4, B11972,"            $30,817          ","             $29,995          ", WDDGF77XX9F221999,Mercedes-Benz C-Class AMG® C 63 RWD,2009, RWD, Gas V8 6.3L/379, Palladium Silver, 19 MPG                                          |                              CITY, Black AMG Premium Leather," 53,125", 7-Speed Automatic,"Sacramento, CA        "
5, B11974,"            $30,455          ","             $28,778          ", 1GYKNARS9HZ154079,Cadillac XT5 FWD FWD,2017, FWD, Gas V6 3.6L/222.6, Dark Granite Metallic, 27 MPG                                          |                              CITY, Sahara Beige," 22,689", 8-Speed Automatic,"Sacramento, CA        "
6, B11978,"            $55,861          ","             $52,888          ", WDDUG8CB2FA166652,Mercedes-Benz S 550 RWD,2015, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Black, 26 MPG                                          |                              CITY, Black/Black Nappa Leather," 36,755", 7-Speed Automatic w/OD,"Sacramento, CA        "
7, B11977,"            $16,916          ","             $14,991          ", 4T3ZA3BB1BU041966,Toyota Venza FWD,2011, FWD, Gas I4 2.7L/163, Blue, 27 MPG                                          |                              CITY, TAN," 51,445", 6-Speed Automatic,"Sacramento, CA        "
8, B11983,"            $19,916          ","             $18,921          ", WDDHF5KB2CA567389,Mercedes-Benz E 350 RWD,2012, RWD, Gas V6 3.5L/213, Black, 30 MPG                                          |                              CITY, Black MB-Tex," 80,955", 7-Speed Automatic,"Sacramento, CA        "
9, B11981,"            $63,418          ","             $62,000          ", WDDUG8CB3HA301009,Mercedes-Benz S 550 Sport RWD,2017, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Black/Black Leather," 41,652", 9-Speed Automatic w/OD,"Sacramento, CA        "
10, B11984,"            $32,522          ","             $31,203          ", 55SWF4JBXGU141944,Mercedes-Benz C 300 Sport RWD,2016, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Iridium Silver Metallic, 34 MPG                                          |                              CITY, Sport Black MB-Tex," 31,758", 7-Speed Automatic w/OD,"Sacramento, CA        "
11, B11987,"            $42,506          ","             $41,870          ", WDDKK6FFXGF342876,Mercedes-Benz E 400 RWD,2016, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Steel Grey, 29 MPG                                          |                              CITY, Black Leather," 26,051", 7-Speed Automatic w/OD,"Sacramento, CA        "
12, B11986,"            $58,914          ","             $58,211          ", WDDLJ9BB0GA160872,Mercedes-Benz CLS 550 AWD 4MATIC®,2016, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 4.7 L/285, Selenite Grey Metallic, 25 MPG                                          |                              CITY, Saddle Brown / Black Semi-Aniline Leather," 22,269", 9-Speed Automatic w/OD,"Sacramento, CA        "
13, B12002,"            $24,916          ","             $24,433          ", 5FNYF4H97EB046316,Honda Pilot Touring 4WD,2014, 4WD, Regular Unleaded V-6 3.5 L/212, Burgundy, 24 MPG                                          |                              CITY, Beige," 81,838", 5-Speed Automatic w/OD,"Sacramento, CA        "
14, B12007,"            $25,916          ","             $25,343          ", 4JGDA5HB2DA124042,Mercedes-Benz M-Class ML 350 AWD 4MATIC®,2013, AWD 4MATIC, Gas V6 3.5L/213, Lunar Blue Metallic, 23 MPG                                          |                              CITY, Almond Beige MB-Tex," 74,068", 7-Speed Automatic w/Manual Shift,"Sacramento, CA        "
15, B12004,"            $36,916          ","             $36,333          ", ZAM57RTA8E1124024,Maserati Ghibli S Q4 AWD,2014, AWD, Twin Turbo Premium Unleaded V-6 3.0 L/182, White, 25 MPG                                          |                              CITY, RED," 17,873", 8-Speed Automatic w/OD,"Sacramento, CA        "
16, B12006,"            $42,916          ","             $42,321          ", 1C4RJFCT4JC151789,Jeep Grand Cherokee High Altitude 4WD,2018, 4WD, Regular Unleaded V-8 5.7 L/345, Billet Silver Metallic Clearcoat, 22 MPG                                          |                              CITY, Black," 29,516", 8-Speed Automatic w/OD,"Sacramento, CA        "
17, B12011,"            $63,916          ","             $62,555          ", WDD1K6FB8JF069646,Mercedes-Benz E 400 Sport RWD,2018, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Saddle Brown/ Black Leather," 13,400", 9-Speed Automatic w/OD,"Sacramento, CA        "
18, B12013,"            $36,419          ","             $35,987          ", WDDKK6FF9FF302304,Mercedes-Benz E 400 RWD,2015, FWD, Regular Unleaded I-4 2.5 L/152, BLACK, 35 MPG                                          |                              CITY, Black," 50,346", 6-Speed Automatic w/OD,"Sacramento, CA        "
0, B12012,"            $51,219          ","             $50,778          ", WDDWJ6EB4HF486850,Mercedes-Benz C-Class AMG® C 43 Coupe AWD 4MATIC®,2017, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 28 MPG                                          |                              CITY, Cranberry Red Leather," 14,949", 9-Speed Automatic w/OD,"Sacramento, CA        "
1, B12016,"            $61,771          ","             $61,000          ", WDC0G6EB7JF410604,Mercedes-Benz AMG® GLC 43 SUV AWD 4MATIC®,2018, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Cardinal Red Metallic, 24 MPG                                          |                              CITY, Saddle Brown Leather," 17,186", 9-Speed Automatic w/OD,"Sacramento, CA        "
2, B12019,"            $42,945          ","             $39,741          ", 55SWF8DB1KU293834,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex," 9,177", 9-Speed Automatic w/OD,"Sacramento, CA        "
3, B12022,"            $39,995          ","             $32,969          ", WDDTG5CB2FJ028118,Mercedes-Benz AMG® GLA 45 SUV AWD 4MATIC®,2015, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 29 MPG                                          |                              CITY, Black Leather," 37,480", 7-Speed Auto-Shift Manual w/OD,"Sacramento, CA        "
4, B12017,"            $42,945          ","             $39,654          ", 55SWF8DB3KU296038,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 8,155", 9-Speed Automatic w/OD,"Sacramento, CA        "
5, B12020,"            $45,095          ","             $41,819          ", 55SWF8DB4KU287638,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Emerald Green Metallic, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 8,167", 9-Speed Automatic w/OD,"Sacramento, CA        "
6, B12018,"            $42,945          ","             $39,421          ", 55SWF8DB8KU295516,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 8,862", 9-Speed Automatic w/OD,"Sacramento, CA        "
7, B12023,"            $27,991          ","             $25,990          ", WDCTG4EB7GJ266334,Mercedes-Benz GLA 250 FWD,2016, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 35 MPG                                          |                              CITY, Black MB-Tex," 49,792", 7-Speed Auto-Shift Manual w/OD,"Sacramento, CA        "
8, B12021,"            $33,989          ","             $33,205          ", WDCTG4EB3HJ289384,Mercedes-Benz GLA 250 Sport FWD,2017, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Jupiter Red, 33 MPG                                          |                              CITY, Black MB-Tex," 26,181", 7-Speed Auto-Shift Manual w/OD,"Sacramento, CA        "
9, B12025,"            $42,945          ","             $33,991          ", 55SWF8DB5KU294064,Mercedes-Benz C 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 11,478", 9-Speed Automatic w/OD,"Sacramento, CA        "
10, B12024,"            $29,909          ","             $29,413          ", WDDSJ4EB6GN386935,Mercedes-Benz CLA 250 FWD,2016, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Jupiter Red, 38 MPG                                          |                              CITY, Black MB-Tex w/ DINAMICA," 33,045", 7-Speed Auto-Shift Manual w/OD,"Sacramento, CA        "
11, B12027,"            $43,916          ","             $42,456          ", WDDZF4KB6HA011169,Mercedes-Benz E 300 AWD 4MATIC®,2017, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 29 MPG                                          |                              CITY, Black MB-Tex," 25,289", 9-Speed Automatic w/OD,"Sacramento, CA        "
